Comment,Designator,Footprint,LCSC,Quantity
10uF,C3,CP_Radial_D5.0mm_P2.00mm,C106654,1
DRV8804PWP,Driver1,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm,C114176,1
100nF,"C1,C2",C_0402,C1525,2
Conn_01x05,Motor1,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,C157991,1
Red,"D1,D2,D3,D4",D_0603,C2286,4
4.7kΩ,"R1,R2,R3,R4",R_0603,C23162,4
10kΩ,"R5,R6",R_0402,C25744,2
Conn_01x03,Hall1,PinHeader_1x03_P2.54mm_Vertical,C2937625,1
Conn_01x10,"Ser1,Ser2",JST_XA_B10B-XASK-1_1x10_P2.50mm_Vertical,C412095,2
SN74HC165PW,U1,PW16,C43420,1
